Date -Sampled-,Sample Site,Percent Composition,Density -code-,RA Index,Latitude,Longitude
6/17/2018,"Point Richmond, Ferry Point",0,X,0,37.91,-122.39
6/19/2018,"Santa Cruz, Capitola Pier",0.5,R,0.01,36.97,-121.95
6/20/2018,"San Diego Bay, U.S. Navy Pier",0,X,0,32.7,-117.24
6/18/2018,"Ventura, Port Hueneme Pier",3.5,P,0.01,34.14,-119.2
6/18/2018,"La Jolla, Scripps Pier",8,P,0.03,32.87,-117.26
6/20/2018,"Monterey, Stillwater Cove",0.5,R,0.02,36.57,-121.94
6/20/2018,Goleta Pier,0.5,R,0,34.41,-119.83
6/17/2018,"CDFG Trawl Block 508, Aptos",1,P,0.01,36.89,-121.92
6/21/2018,"Tomales Bay, Marshall Boat Wrk",0,X,0,38.15,-122.89
6/17/2018,Pacifica Pier,0.5,R,0.13,37.63,-122.5
6/21/2018,San Clemente Pier,0,X,0,33.42,-117.62
6/20/2018,Ventura Pier,0.5,R,0,34.27,-119.29
6/24/2018,"Tomales Bay, Lease #M430-15",0.2,R,0.05,38.22,-122.94
6/25/2018,"Humboldt Bay, Indian Is. Ch.",1,P,0.02,40.81,-124.16
6/22/2018,Palos Verdes Rocky Pt Offshore,0.5,R,0,33.77,-118.46
6/25/2018,Pacifica Pier,2,P,0.07,37.63,-122.5
6/26/2018,"San Diego Bay, U.S. Navy Pier",0,X,0,32.7,-117.24
6/22/2018,Bolsa Chica,0.5,R,0,33.68,-118.03
6/26/2018,Rodeo Beach,0.5,R,0.01,37.83,-122.53
6/29/2018,Wilson Creek,3,P,0.24,41.6,-124.1
6/27/2018,"San Francisco, Pier 15",0.5,R,0,37.8,-122.4
6/25/2018,"Santa Cruz, Capitola Pier",0,X,0,36.97,-121.95
6/28/2018,"Morro Bay, North T-Pier",61,A,0.02,35.37,-120.86
6/27/2018,Goleta Pier,0,X,0,34.41,-119.83
6/26/2018,Agua Hedionda Lagoon,0,X,0,33.14,-117.34
6/26/2018,Imperial Beach Pier,1,P,0,32.58,-117.14
6/25/2018,"La Jolla, Scripps Pier",3,P,0,32.87,-117.26
6/29/2018,Ventura Pier,0,X,0,34.27,-119.29
6/25/2018,Bolinas Lagoon,0.5,R,0,37.91,-122.68
6/26/2018,"Monterey Bay, Commercial Wharf",0.5,R,0,36.61,-121.89
6/30/2018,San Simeon Pier,93,A,2.85,35.64,-121.19
6/26/2018,Pismo Pier,0.5,R,0,35.14,-120.65
6/28/2018,Santa Cruz Pier,0.5,R,0,36.96,-122.02
6/29/2018,"Monterey, Stillwater Cove",0,X,0,36.57,-121.94
6/30/2018,"Point Dume, offshore",0,X,0,34,-118.81
6/28/2018,"CDFG Trawl Block 510, Santa Cr",0,X,0,36.92,-122.26
