Animal_Name,Common_Name,Age_Class,Sex,Occurrence,Strand_Date,County,City,Locality,Stranding_Details,Latitude,Longitude,Admit_Date,Status,Status_2,Disposition_Date,COD_List_Side,Diagnosis_List_Side
Snow White,California Sea Lion,Adult,Female,1,9/17/91,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 2.5,35.09,-120.629,9/17/91,released,,11/17/91,,bad location
Cowie,California Sea Lion,Adult,Male,1,11/16/91,Monterey,Seaside,Monterey State Beach (Seaside),,36.622,-121.852,11/16/91,died in treatment,,11/27/91,Pneumonia,"blind, pneumonia"
Tasha,California Sea Lion,Adult,Female,1,11/24/91,Santa Cruz,Davenport Landing,Davenport Landing Beach,,37.023,-122.223,11/24/91,released,,1/26/92,,
Crystal,California Sea Lion,Adult,Female,1,1/4/92,Santa Cruz,Santa Cruz,Main Beach,,36.953,-122.013,1/4/92,released,,3/3/92,,
Atoyot,California Sea Lion,Juvenile,Male,1,3/13/92,Monterey,Monterey,Fisherman's Wharf (Wharf 1),,36.608,-121.888,3/13/92,released,,4/29/92,,
Hobbes,California Sea Lion,Adult,Female,1,3/28/92,Monterey,Monterey,Coast Guard Jetty,,36.608,-121.888,3/28/92,euthanasia,,4/30/92,"pneumonia,",
Fed X,California Sea Lion,Yearling,Male,1,5/5/92,Monterey,Monterey,Coast Guard Jetty,,36.608,-121.888,5/5/92,died in treatment,,5/6/92,Verminous pneumonia,
Clueless,California Sea Lion,Yearling,Male,1,5/10/92,San Francisco,San Francisco,Ocean Beach at Sloat,,37.734,-122.514,5/10/92,released,,9/2/92,,
Daphne,California Sea Lion,Adult,Female,1,7/10/92,Marin,Sausalito,Golden Gate National Recreation Area,"Marin Headlands, Rodeo Beach",37.8296,-122.5409,7/10/92,DOA,,7/11/92,"septicemia, pneumonia (verminous)",
DOA,California Sea Lion,Subadult,Male,1,8/11/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,8/11/92,DOA,,8/11/92,interstitial pneumonia,bad location
Jillian,California Sea Lion,Adult,Female,1,8/11/92,San Luis Obispo,Pismo Beach,,Shelter Cove ,35.0906,-120.3932,8/11/92,died in treatment,,8/14/92,"seizures of unknown etiology, pneumonia, sepsis",
Last Call,California Sea Lion,Adult,Female,1,8/12/92,San Luis Obispo,Pismo Beach,,Shelter Cove,35.0906,-120.3932,8/12/92,died in treatment,,8/17/92,seizures of unknown etiology,
China,California Sea Lion,Adult,Female,1,8/14/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,8/14/92,released,,9/27/92,,bad location
Dakota,California Sea Lion,Adult,Female,1,8/14/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,8/14/92,released,,9/27/92,,bad location
Jenifer,California Sea Lion,Adult,Female,1,8/14/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Midramp - 2 blocks south of Grand Ave,35.121,-120.635,8/14/92,released,,9/19/92,,"pending, bad location"
Penelope,California Sea Lion,Yearling,Female,1,8/14/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,8/14/92,died in treatment,,9/30/92,"open, secondary pneumonia present",bad location
Katherine,California Sea Lion,Adult,Female,1,8/14/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,4 miles South of Grand Ave,,,8/14/92,died in treatment,,9/8/92,"verminous pneumonia, seizures of unknown etiology",bad location
Oephella,California Sea Lion,Juvenile,Male,1,8/14/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,8/14/92,released,,9/19/92,,bad location
Col. Flagg,California Sea Lion,Adult,Female,1,8/16/92,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,"Post 2 to 3, closer to post 2",35.09,-120.629,8/16/92,released,,9/19/92,,bad location
Gilda,California Sea Lion,Adult,Female,1,8/16/92,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 5,350.67,-120.628,8/16/92,released,,10/3/92,,bad location
Stevie,California Sea Lion,Subadult,Female,1,8/16/92,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,"Posts 2 to 3, closest to post 3",35.08,-120.629,8/16/92,released,,10/10/92,,bad location
DOA,California Sea Lion,Adult,Female,1,8/16/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,8/16/92,carcass,,8/16/92,open pending toxicological analysis,bad location
St. Croix,California Sea Lion,Adult,Female,1,8/17/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,8/17/92,released,,10/3/92,,bad location
Harriet,California Sea Lion,Adult,Female,1,8/17/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,8/17/92,died in treatment,,8/24/92,open pending toxicological analysis and histopathology,bad location
Fossil Lady,California Sea Lion,Adult,Female,1,8/20/92,San Luis Obispo,Avila Beach,Port San Luis,,35.1029,-120.4517,8/20/92,released,,10/3/92,,
Lifesaver,California Sea Lion,Yearling,Female,1,8/20/92,San Luis Obispo,Pismo Beach,Pismo State Beach,,,,8/20/92,released,,9/26/92,,
Moon,California Sea Lion,Yearling,Female,1,8/20/92,San Luis Obispo,Morro Bay,Morro Strand State Beach,north end near rocky point,35.431,-120.893,8/20/92,euthanasia,,1/7/93,"euthanasia, seizures(poss. mercury toxicosis)",
Slough,California Sea Lion,Juvenile,Male,1,8/20/92,Marin,Mill Valley,,near pump house on Industrial Drive,,,8/20/92,DOA,,8/20/92,bacterial pneumonia,
Video,California Sea Lion,Subadult,Female,1,8/21/92,Santa Cruz,Santa Cruz,,Westcliff and Stockton,36.948,-122.021,8/21/92,died in treatment,,8/22/92,"laceration, pneumonia",
Danielle,California Sea Lion,Adult,Female,1,8/24/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,1/4 mile south of Pier,35.104,-120.631,8/24/92,released,,9/19/92,,bad location
Rhett,California Sea Lion,Subadult,Female,1,9/11/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,9/11/92,released,,11/1/92,,bad location
Party Girl,California Sea Lion,Adult,Female,1,9/11/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,9/11/92,released,,11/1/92,,bad location
Homie,California Sea Lion,Adult,Female,1,9/17/92,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,9/17/92,released,,11/1/92,,bad location
Highgo,California Sea Lion,Adult,Female,1,11/9/92,Santa Cruz,Santa Cruz,Main Beach, walkway 4,36.953,-122.013,11/9/92,died in treatment,,11/12/92,open-awaiting histology,
Lightning,California Sea Lion,Adult,Female,1,1/16/93,Santa Cruz,Santa Cruz,,Westcliff and David,36.948,-122.021,1/16/93,released,,2/6/93,,
Fiesole (restrand),California Sea Lion,Adult,Female,1,2/19/93,San Luis Obispo,Pismo Beach,Spyglass Park,,35.158,-120.694,2/20/93,released,,3/20/93,,
Just Anything,California Sea Lion,Subadult,Female,1,5/9/93,San Luis Obispo,San Simeon,,3 miles north of Hearst State Park,,,5/9/93,released,,7/15/93,,
Thrasher,California Sea Lion,Adult,Female,1,5/16/93,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/16/93,died in treatment,,5/23/93,"parasitic cholangiohepatitis, bile duct obstruction, gastric foregn bodies, verminous pneumonia, emaciation",bad location
Lucas,California Sea Lion,Yearling,Female,1,6/5/93,San Luis Obispo,Morro Bay,,Morro Bay jetty,35.2139,-120.5144,6/5/93,euthanasia,,6/6/93,"pneumonia (verminous), malnutrition",
Macaw,California Sea Lion,Yearling,Female,1,6/20/93,San Luis Obispo,Morro Bay,Morro Bay Harbor,near Virg's dock,35.369,-120.871,6/21/93,DOA,,6/22/93,"malnutrition, possible renal disease",
Maya,California Sea Lion,Adult,Female,1,7/6/93,Monterey,Moss Landing,Moss Landing Harbor,,36.813,-121.796,7/6/93,DOA,,7/6/93,"renal disease, verminous pneumonia postpartem",
Summerfield,California Sea Lion,Adult,Female,1,7/6/93,Santa Clara,Sunnyvale,,parking lot of Summerfield Suites Hotel,37.24,-122.0143,7/6/93,died in treatment,,7/29/93,Verminous pneumonia,
Moaner,California Sea Lion,Subadult,Male,1,7/9/93,San Luis Obispo,Morro Bay,Atascadero Beach,,,,7/9/93,released,,8/29/93,,
Cruella,California Sea Lion,Subadult,Male,1,7/17/93,Monterey,Big Sur,Pfieffer State Beach,,36.239,-121.822,7/18/93,euthanasia,,8/26/93,"euthanasia, cholangiohepatitis",
Dusty,California Sea Lion,Yearling,Male,1,8/3/93,Monterey,Monterey,Monterey State Beach,Monterey Bay Hotel,36.615,-121.858,8/3/93,DOA,,8/4/93,malnutrition,
Yo-Yo,California Sea Lion,Subadult,Male,1,10/3/93,Monterey,Monterey,USCG Pier,,36.608,-121.888,10/3/93,released,,11/8/93,,
Onna,California Sea Lion,Yearling,Female,1,3/22/94,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,3/22/94,DOA,,3/23/94,malnutrition,"bad location, human interaction"
Karrie,California Sea Lion,Yearling,Male,1,6/5/94,San Luis Obispo,Morro Bay,,on skiff in harbor,35.2211,-120.512,6/5/94,released,,8/6/94,,
DOA,California Sea Lion,Adult,Female,1,11/29/95,San Luis Obispo,Morro Bay,Diablo Canyon,,35.1229,-120.5113,11/29/95,DOA,,11/29/95,Necrotizing enteritis. Cholangiohepatitis. Spondylosis deformans. Verminous pneumonia.,
Leibling,California Sea Lion,Adult,Female,1,5/3/96,Monterey,Moss Landing,Moss Landing Beach,,36.813,-121.796,5/3/96,released,,5/19/96,,
Bernice,California Sea Lion,Adult,Female,1,7/7/96,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 4,35.047,-120.629,7/7/96,released,,8/10/96,,bad location
Tootsie,California Sea Lion,Yearling,Female,1,2/16/97,Del Norte,Crescent City,Crescent Beach,,41.7267,-124.1529,6/23/97,released,,7/27/97,,
Lynette,California Sea Lion,Adult,Female,1,6/14/97,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 5,35.067,-120.628,6/14/97,died in treatment,,6/20/97,"Unknown, await histology.",bad location
Solo,California Sea Lion,Yearling,Female,1,9/4/97,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,End of Pier Ave,35.104,-120.631,9/4/97,released,,10/19/97,,bad location
Lifeguard,California Sea Lion,Adult,Female,1,9/28/97,Monterey,Moss Landing,,1/4 mile south of Monterey Bay Aquarium Research Institute,36.798,-121.796,9/28/97,euthanasia,,10/11/97,"Euthanasia, seizures of unknown origin, and liver dystrophy.",
Bentley,California Sea Lion,Adult,Female,1,1/10/98,Monterey,Pacific Grove,Asilomar State Beach,,36.624,-121.944,1/10/98,died in treatment,,1/11/98,Verminous pneumonia. Malnutrition.,
Sea Catz,California Sea Lion,Pup,Female,1,2/14/98,San Luis Obispo,Cayucos,Cayucos Beach,,35.431,-120.893,2/14/98,euthanasia,,2/19/98,Euthanasia; malnutrition and suspect interstitial nephritis.,
Hestia,California Sea Lion,Adult,Female,1,2/17/98,Monterey,Pacific Grove,Asilomar State Beach,,36.624,-121.944,2/17/98,euthanasia,,2/19/98,Euthanasia; await histopathology.,
Delive,California Sea Lion,Yearling,Male,1,5/14/98,Monterey,,Salinas River State Beach,,36.778,-121.804,5/14/98,euthanasia,,5/21/98,"Euthanasia; renal failure, non-regenerative anemia, and verminous pneumonia.",
Twofer,California Sea Lion,Yearling,Male,1,5/15/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/15/98,died in treatment,,5/19/98,"Malnutrition, and Verminous Pneumonia.",bad location
Jordan (DOA),California Sea Lion,Adult,Female,1,5/16/98,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 1,35.097,-120.63,5/16/98,died in treatment,,5/17/98,domoic acid toxicity (acute),"bad location, domoic acid toxicity (acute)"
Jakarta,California Sea Lion,Adult,Female,1,5/17/98,Monterey,Sand City,Monterey Beach Hotel,,36.615,-121.858,5/18/98,died in treatment,,5/18/98,"Toxicosis, seizures.",
Angelo (DOA),California Sea Lion,Adult,Female,1,5/18/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,35.1,-120.637,5/18/98,died in treatment,,5/18/98,"Toxicosis, seizures.",bad location
Sallee,California Sea Lion,Adult,Female,1,5/19/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,1/4 mile south of Pier Ave,35.105,-120.637,5/19/98,euthanasia,,5/20/98,"Euthanasia; Toxicosis, seizures, interstitial nephritis, gastritis.",bad location
Alexandra,California Sea Lion,Adult,Female,1,5/19/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,35.1,-120.637,5/19/98,euthanasia,,5/20/98,Euthanasia. Toxicosis. Repeated seizures.,bad location
Nado,California Sea Lion,Yearling,Female,1,5/19/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,1 mile South of Pier Ave,35.087,-120.636,5/19/98,released,,7/29/98,,bad location
Franky,California Sea Lion,Subadult,Male,1,5/20/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,35.092,-120.636,5/20/98,euthanasia,,5/21/98,Euthanasia. Toxicosis. Seizures.,bad location
Sammy,California Sea Lion,Adult,Female,1,5/20/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/20/98,released,,11/5/98,,bad location
Dean,California Sea Lion,Adult,Female,1,5/20/98,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,post #2,35.092,-120.636,5/20/98,died in treatment,,5/20/98,Toxicosis and seizures.,bad location
Thelma,California Sea Lion,Adult,Female,1,5/21/98,Monterey,Monterey,Boat yard,,,,5/21/98,released,,6/25/98,,
Tick,California Sea Lion,Adult,Female,1,5/21/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/21/98,released,,7/18/98,,"domoic acid toxicity (acute), bad location"
Tack,California Sea Lion,Subadult,Female,1,5/21/98,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 4,35.047,-120.629,5/21/98,released,,7/18/98,,bad location
Toe,California Sea Lion,Adult,Female,1,5/21/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,200 yards South of Pier ,35.117,-120.639,5/21/98,euthanasia,,6/3/98,"euthanasia, domoic acid toxicity (acute)","pregnant, bad location, domoic acid toxicity (acute)"
Three,California Sea Lion,Adult,Female,1,5/21/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Between Grand and Pier,35.113,-120.633,5/21/98,died in treatment,,5/22/98,Toxicosis and seizures.,bad location
Two,California Sea Lion,Adult,Female,1,5/21/98,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,post #4 ,35.074,-120.636,5/21/98,died in treatment,,5/22/98,Toxicosis and seizures.,bad location
Pedwar,California Sea Lion,Adult,Female,1,5/21/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Pier Ave,35.104,-120.631,5/21/98,euthanasia,,6/2/98,Euthanasia. Toxicosis due to demoic acid. Still born fetus.,bad location
Solo,California Sea Lion,Subadult,Male,1,5/21/98,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 3,35.08,-120.629,5/21/98,released,,6/14/98,,bad location
Pentabarb,California Sea Lion,Subadult,Male,1,5/21/98,San Luis Obispo,Grover City,Oceano Dunes Vehicular Recreation Area,north of Grand Ave,35.113,-120.638,5/21/98,released,,8/15/98,,bad location
Andromeda,California Sea Lion,Adult,Female,1,5/22/98,Monterey,Monterey,"Monterey State Beach (Tioga, Seaside)",Sandy Beach,36.615,-121.858,5/22/98,euthanasia,,6/1/98,Euthanasia. Persistent seizures. Toxicosis due to domoic acid.,
Ju-Ni,California Sea Lion,Adult,Female,1,5/22/98,San Luis Obispo,Grover City,North Beach Campgrounds,,35.0719,-120.3806,5/22/98,released,,8/5/98,,
Neuf,California Sea Lion,Adult,Female,1,5/22/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,North of Pier,35.109,-120.638,5/22/98,died in treatment,,6/22/98,"unknown, suspect toxicosis",bad location
Benny,California Sea Lion,Subadult,Female,1,5/22/98,San Luis Obispo,Oceano,Grand Ave.,,35.122,-120.64,5/23/98,died in treatment,,5/23/98,Toxicosis and seizures.,
Septimus,California Sea Lion,Juvenile,Male,1,5/22/98,San Luis Obispo,Pismo Beach,Pismo Beach,,35.134,-120.646,5/22/98,released,,8/15/98,,
Eight,California Sea Lion,Juvenile,Male,1,5/22/98,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,Grand Ave,35.121,-120.635,5/22/98,died in treatment,,5/22/98,Toxicosis. Repeated seizures.,bad location
Thieran,California Sea Lion,Subadult,Male,1,5/22/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/22/98,died in treatment,,6/13/98,"toxemia, pneumonia, abscess, malnutrition",bad location
Finnegan,California Sea Lion,Adult,Female,1,5/22/98,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,Grand Ave,35.121,-120.635,5/22/98,euthanasia,,6/1/98,"euthanasia, domoic acid toxicity (acute)","pregnant, bad location, domoic acid toxicity (acute)"
Fiona 2,California Sea Lion,Adult,Female,1,5/22/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/22/98,euthanasia,,6/2/98,Euthanasia. Toxicosis due to demoic acid. Uterine rupture. Pentonitis.,bad location
Sixteen,California Sea Lion,Adult,Female,1,5/22/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/22/98,died in treatment,,5/23/98,Toxicosis due to domoic acid.,bad location
Seventeen (Shamus),California Sea Lion,Adult,Female,1,5/22/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,35.1,-120.637,5/22/98,died in treatment,,5/24/98,"toxicosis, seizures",bad location
Lumberjack 2,California Sea Lion,Adult,Female,1,5/23/98,Monterey,Marina,Marina State Beach,,36.705,-121.813,5/23/98,died in treatment,,5/29/98,Toxicosis. Seizures.,
Chaos,California Sea Lion,Adult,Female,1,5/23/98,Monterey,Monterey,Del Monte Beach,,36.608,-121.87,5/23/98,euthanasia,,5/31/98,"Euthanasia; seizures, toxicosis due to domoic acid.",
DOA,California Sea Lion,Adult,Female,1,5/23/98,Monterey,Marina,Marina State Beach,,36.705,-121.813,5/23/98,DOA,,5/23/98,Toxicosis-await histology.,
Reid,California Sea Lion,Adult,Female,1,5/23/98,Monterey,Marina,Marina Beach,,,,5/23/98,died in treatment,,5/23/98,Toxicosis,
Pistachio,California Sea Lion,Adult,Female,1,5/23/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/23/98,released,,6/25/98,,bad location
Cashew,California Sea Lion,Adult,Female,1,5/23/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/23/98,released,,6/14/98,,bad location
Pecan,California Sea Lion,Subadult,Female,1,5/23/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/23/98,released,,6/25/98,,bad location
Macadamia,California Sea Lion,Adult,Female,1,5/23/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/23/98,released,,7/22/98,,bad location
Twenty six,California Sea Lion,Adult,Female,1,5/23/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/23/98,died in treatment,,5/23/98,Toxicosis.,bad location
Twenty Three,California Sea Lion,Adult,Female,1,5/23/98,San Luis Obispo,Morro Bay,Shell Beach,,35.151,-120.681,5/23/98,DOA,,5/23/98,"toxicosis, seizures",
Professor,California Sea Lion,Subadult,Male,1,5/23/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Pier Ave,35.104,-120.631,5/23/98,released,,6/22/98,,"bad location, domoic acid toxicity (acute)"
DIT,California Sea Lion,Adult,Female,1,5/23/98,Santa Cruz,Watsonville,Sunset State Beach,Pajaro Dunes,36.863,-121.827,5/24/98,died in treatment,,5/24/98,Toxicosis due to domoic acid.,
Thirty Two,California Sea Lion,Adult,Female,1,5/23/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/23/98,died in treatment,,5/24/98,toxicosis due to domoic acid,bad location
Kristen,California Sea Lion,Adult,Female,1,5/23/98,San Luis Obispo,Pismo Beach,Pismo Pier,,35.138,-120.649,5/23/98,died in treatment,,6/1/98,Toxicosis due to domoic acid,
Oatmeal,California Sea Lion,Adult,Female,1,5/24/98,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,5/24/98,euthanasia,,6/2/98,"euthanasia, domoic acid toxicity",bad location
DOA,California Sea Lion,Adult,Female,1,5/24/98,Monterey,Monterey,Fisherman's Wharf,,36.608,-121.888,5/24/98,DOA,,5/24/98,Toxicosis due to domoic acid. Seizures.,
Newton,California Sea Lion,Adult,Female,1,5/24/98,Monterey,Monterey,Monterey State Beach,,36.622,-121.852,5/24/98,released,,8/17/98,,
Toddy,California Sea Lion,Juvenile,Male,1,5/24/98,Monterey,Sand City,Monterey State Beach,,36.622,-121.852,5/24/98,released,,6/20/98,,
Pascal,California Sea Lion,Adult,Female,1,5/24/98,Santa Cruz,Watsonville,Pajaro Dunes,,36.86,-121.825,5/24/98,released,,8/2/98,,
Joule,California Sea Lion,Adult,Female,1,5/24/98,Monterey,Monterey,Del Monte Beach, (near Del Monte beach condos),36.608,-121.87,5/24/98,euthanasia,,6/4/98,Euthanasia. Uterine torsion. Toxicosis due to domoic acid. Seizures.,
Skipper,California Sea Lion,Subadult,Female,1,5/24/98,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 4,35.047,-120.629,5/24/98,released,,6/20/98,,bad location
Howell,California Sea Lion,Adult,Female,1,5/24/98,San Luis Obispo,Pismo Beach,Oso Flaco Lake Natural Area,,35.031,-120.641,5/24/98,released,,6/25/98,,
Neville,California Sea Lion,Adult,Female,1,5/24/98,San Luis Obispo,Avila Beach,Port Harford Pier,,35.1029,-120.4517,5/24/98,euthanasia,,6/2/98,"euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
Tara,California Sea Lion,Juvenile,Male,1,5/24/98,San Luis Obispo,Pismo Beach,Pismo Beach,,35.134,-120.646,5/24/98,released,,6/14/98,,
Mellow,California Sea Lion,Subadult,Male,1,5/24/98,Santa Cruz,Watsonville,Pajaro Dunes,,36.86,-121.825,5/25/98,released,,6/22/98,,
Bob,California Sea Lion,Yearling,Female,1,5/25/98,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,post 4,35.074,-120.636,5/26/98,released,,6/22/98,,bad location
Roller,California Sea Lion,Adult,Female,1,5/25/98,Santa Cruz,Watsonville,Pajaro Dunes,,36.86,-121.825,5/25/98,euthanasia,,6/4/98,Euthanasia. Repeated seizures (Toxicosis due to domoic acid).,
Muddy,California Sea Lion,Adult,Female,1,5/25/98,Monterey,Moss Landing,Moss Landing State Beach,,36.813,-121.796,5/25/98,died in treatment,,5/31/98,"domoic acid toxicity (acute), open-awaiting histology","pregnant, domoic acid toxicity (acute)"
Whisper,California Sea Lion,Adult,Female,1,5/25/98,San Luis Obispo,Pismo Beach,Shell Beach (Ocean Park),,35.15,-120.676,5/25/98,euthanasia,,5/31/98,"euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
Ouch,California Sea Lion,Adult,Female,1,5/25/98,Monterey,Pacific Grove,Just S. of Lover's Point.,,36.63,-121.912,5/25/98,euthanasia,,5/27/98,Euthanasia. Prolapse and necrosis of uterus.,
Lady Bug,California Sea Lion,Adult,Female,1,5/26/98,Monterey,Moss Landing,PG&E,,36.801,-121.793,5/26/98,euthanasia,,5/27/98,"euthanasia, domoic acid toxicity (acute), open-awaiting histology",domoic acid toxicity (acute)
No Name,California Sea Lion,Adult,Female,1,5/26/98,Monterey,Moss Landing,Monterey Dunes Colony,,36.766,-121.81,5/26/98,euthanasia,,6/27/98,"Unknown, possible Domoic Acid Toxicosis.",
Kitty,California Sea Lion,Adult,Female,1,5/26/98,Monterey,Moss Landing,PG&E,,36.801,-121.793,5/26/98,euthanasia,,6/3/98,"euthanasia, domoic acid toxicity (acute)",domoic acid toxicity (acute)
Flower,California Sea Lion,Adult,Female,1,5/27/98,Monterey,Monterey,Monterey Bay Colony,,36.762,-121.811,5/27/98,euthanasia,,6/1/98,Euthanasia.Toxicosis due to domoic acid. Stillborn fetus.,
Opal,California Sea Lion,Adult,Female,1,5/27/98,Santa Cruz,Aptos,Hidden Beach,,36.951,-121.902,5/27/98,died in treatment,,5/27/98,domoic acid toxicity (developmental),
Salace,California Sea Lion,Adult,Female,1,5/27/98,Monterey,Moss Landing,Salinas River State Beach,,36.778,-121.804,5/29/98,released,,11/5/98,,
Esperanza,California Sea Lion,Adult,Female,1,5/28/98,Santa Cruz,Live Oak,Twin Lakes State Beach,Lincoln Beach,36.952,-121.997,5/28/98,released,,11/5/98,,
Mahjong,California Sea Lion,Adult,Female,1,5/28/98,Santa Cruz,Santa Cruz,Santa Cruz Wharf,,36.953,-122.013,5/28/98,released,,11/5/98,,
Wet Lily,California Sea Lion,Adult,Female,1,5/29/98,Santa Cruz,Capitola,La Selva Beach,,36.905,-121.854,5/29/98,died in treatment,,6/25/98,Septicemia. Toxicosis-domoic acid. Gunshot to shoulder.,gunshot
